Año,Siniestros,Fallecidos,Lesionados_graves ,Lesionados_menos_graves ,Lesionados_leves ,Total_lesionados,Total_víctimas,Tasa_motorización,Vehículos_cada_100_habitantes,Parque_vehicular,Población,Indicadores_cada_10000_vehículos_Siniestralidad ,Indicadores_cada_10000_vehículos_Mortalidad ,Indicadores_cada_10000_vehículos_Morbilidad,Indicadores_cada_100000_habitantes_Siniestralidad ,Indicadores_cada_100000_habitantes_Mortalidad,Indicadores_cada_100000_habitantes_Morbilidad,Fallecidos_cada_100_siniestros,Siniestros_por_cada_fallecido
1972,26.727,1.792,6.590,5.624,11.027,23.241,25.033,"24,7","4,0",401.114,9.907.065,"666,32","44,68","579,41","269,78","18,09","234,59","6,70","14,91"
1973,23.480,1.719,6.020,5.153,10.079,21.252,22.971,"24,1","4,1",417.767,10.075.782,"562,04","41,15","508,70","233,03","17,06","210,92","7,32","13,66"
1974,18.356,1.269,4.935,3.763,7.938,16.636,17.905,"23,8","4,2",431.172,10.244.501,"425,72","29,43","385,83","179,18","12,39","162,39","6,91","14,46"
1975,16.602,1.054,4.208,3.479,7.142,14.829,15.883,"23,4","4,3",445.693,10.413.219,"372,50","23,65","332,72","159,43","10,12","142,41","6,35","15,75"
1976,17.716,1.079,4.322,3.456,7.355,15.133,16.212,"22,7","4,4",466.049,10.565.409,"380,13","23,15","324,71","167,68","10,21","143,23","6,09","16,42"
1977,19.638,1.071,4.566,4.125,7.961,16.652,17.723,"20,8","4,8",514.180,10.717.600,"381,93","20,83","323,86","183,23","9,99","155,37","5,45","18,34"
1978,19.623,1.207,5.397,4.316,9.424,19.137,20.344,"18,4","5,4",589.788,10.869.791,"332,71","20,46","324,47","180,53","11,10","176,06","6,15","16,26"
1979,21.506,1.309,5.961,5.397,10.386,21.744,23.053,"18,1","5,5",608.630,11.021.982,"353,35","21,51","357,26","195,12","11,88","197,28","6,09","16,43"
1980,25.606,1.434,6.287,5.925,11.993,24.205,25.639,"14,0","7,1",797.180,11.174.173,"321,21","17,99","303,63","229,15","12,83","216,62","5,60","17,86"
1981,33.536,1.552,6.895,6.927,15.031,28.853,30.405,"13,2","7,6",863.038,11.359.773,"388,58","17,98","334,32","295,22","13,66","253,99","4,63","21,61"
1982,55.272,1.274,7.532,8.579,17.870,33.981,35.255,"12,6","7,9",912.749,11.545.372,"605,56","13,96","372,29","478,74","11,03","294,33","2,30","43,38"
1983,47.889,1.363,7.338,7.506,16.338,31.182,32.545,"12,8","7,8",916.360,11.730.972,"522,60","14,87","340,28","408,23","11,62","265,81","2,85","35,13"
1984,39.207,1.210,7.128,7.352,15.351,29.831,31.041,"12,8","7,8",930.457,11.916.572,"421,37","13,00","320,61","329,01","10,15","250,33","3,09","32,40"
1985,30.751,1.049,4.421,4.106,11.767,20.294,21.343,"12,8","7,8",944.564,12.102.174,"325,56","11,11","214,85","254,09","8,67","167,69","3,41","29,31"
1986,35.268,1.191,4.794,4.832,14.359,23.985,25.176,"12,8","7,8",962.564,12.317.494,"366,40","12,37","249,18","286,32","9,67","194,72","3,38","29,61"
1987,32.790,1.198,4.990,4.946,14.735,24.671,25.869,"12,9","7,8",972.042,12.532.815,"337,33","12,32","253,81","261,63","9,56","196,85","3,65","27,37"
1988,34.226,1.248,5.564,5.147,16.547,27.258,28.506,"12,9","7,7",985.843,12.748.135,"347,17","12,66","276,49","268,48","9,79","213,82","3,65","27,42"
1989,37.217,1.465,6.217,5.768,19.439,31.424,32.889,"12,7","7,9",1.018.255,12.963.457,"365,50","14,39","308,61","287,09","11,30","242,40","3,94","25,40"
1990,39.479,1.587,6.788,6.326,21.391,34.505,36.092,"12,3","8,2",1.074.228,13.178.782,"367,51","14,77","321,21","299,56","12,04","261,82","4,02","24,88"
1991,40.368,1.602,7.295,6.461,22.618,36.374,37.976,"11,4","8,7",1.174.194,13.422.010,"343,79","13,64","309,78","300,76","11,94","271,00","3,97","25,20"
1992,43.402,1.700,7.983,7.215,25.145,40.343,42.043,"10,1","9,9",1.356.503,13.665.241,"319,96","12,53","297,40","317,61","12,44","295,22","3,92","25,53"
1993,44.837,1.760,8.298,7.151,26.334,41.783,43.543,"9,4","10,6",1.476.128,13.908.473,"303,75","11,92","283,06","322,37","12,65","300,41","3,93","25,48"
1994,44.236,1.762,8.231,7.207,26.208,41.646,43.408,"9,4","10,7",1.508.957,14.151.708,"293,16","11,68","275,99","312,58","12,45","294,28","3,98","25,11"
1995,50.790,1.890,8.830,8.017,28.982,45.829,47.719,"8,6","11,7",1.678.675,14.394.940,"302,56","11,26","273,01","352,83","13,13","318,37","3,72","26,87"
1996,57.775,1.925,9.615,8.508,32.436,50.559,52.484,"8,0","12,5",1.826.137,14.595.504,"316,38","10,54","276,86","395,84","13,19","346,40","3,33","30,01"
1997,52.394,1.883,9.510,8.601,32.546,50.657,52.540,"7,4","13,4",1.988.647,14.796.076,"263,47","9,47","254,73","354,11","12,73","342,37","3,59","27,82"
1998,49.890,1.959,9.327,8.243,34.620,52.190,54.149,"7,4","13,5",2.024.510,14.996.647,"246,43","9,68","257,79","332,67","13,06","348,01","3,93","25,47"
1999,47.052,1.655,8.531,7.582,34.398,50.511,52.166,"7,1","14,1",2.145.437,15.197.213,"219,31","7,71","235,43","309,61","10,89","332,37","3,52","28,43"
2000,40.926,1.698,8.090,6.929,31.639,46.658,48.356,"7,2","13,8",2.128.855,15.397.784,"192,24","7,98","219,17","265,79","11,03","303,02","4,15","24,10"
2001,44.831,1.562,7.329,6.567,31.448,45.344,46.906,"7,2","14,0",2.176.501,15.571.679,"205,98","7,18","208,33","287,90","10,03","291,20","3,48","28,70"
2002,41.734,1.549,7.317,6.284,30.521,44.122,45.671,"7,1","14,2",2.218.062,15.668.271,"188,16","6,98","198,92","266,36","9,89","281,60","3,71","26,94"
2003,44.450,1.703,7.497,5.772,32.066,45.335,47.038,"7,2","13,9",2.195.878,15.837.836,"202,42","7,76","206,46","280,66","10,75","286,24","3,83","26,10"
2004,46.620,1.757,7.166,5.332,34.012,46.510,48.267,"7,0","14,4",2.298.620,16.001.669,"202,82","7,64","202,34","291,34","10,98","290,66","3,77","26,53"
2005,46.328,1.626,6.844,4.878,36.070,47.792,49.418,"6,9","14,5",2.351.662,16.165.316,"197,00","6,91","203,23","286,59","10,06","295,65","3,51","28,49"
2006,44.839,1.652,6.515,4.490,36.020,47.025,48.677,"6,1","16,3",2.657.892,16.332.171,"168,70","6,22","176,93","274,54","10,12","287,93","3,68","27,14"
2007,53.682,1.645,7.374,4.977,41.659,54.010,55.655,"5,8","17,1",2.824.570,16.504.869,"190,05","5,82","191,21","325,25","9,97","327,24","3,06","32,63"
2008,57.087,1.782,7.488,5.119,42.679,55.286,57.068,"5,5","18,1",3.023.050,16.686.853,"188,84","5,89","182,88","342,11","10,68","331,31","3,12","32,04"
2009,56.330,1.508,6.748,4.377,41.050,52.175,53.683,"5,4","18,6",3.139.088,16.876.767,"179,45","4,80","166,21","333,77","8,94","309,15","2,68","37,35"
2010,57.746,1.595,6.899,4.321,41.744,52.964,54.559,"5,1","19,8",3.375.523,17.066.142,"171,07","4,73","156,91","338,37","9,35","310,35","2,76","36,20"
2011,62.834,1.573,6.724,4.454,43.034,54.212,55.785,"4,7","21,2",3.654.727,17.255.527,"171,93","4,30","148,33","364,14","9,12","314,17","2,50","39,95"
2012,61.791,1.523,6.570,3.920,42.735,53.225,54.748,"4,4","22,8",3.973.913,17.444.799,"155,49","3,83","133,94","354,21","8,73","305,11","2,46","40,57"
2013,73.276,1.623,7.430,4.416,47.746,59.592,61.215,"4,1","24,2",4.263.084,17.631.579,"171,88","3,81","139,79","415,60","9,21","337,98","2,21","45,15"
2014,78.445,1.630,7.457,4.012,46.416,57.885,59.515,"3,9","25,6",4.568.664,17.819.054,"171,70","3,57","126,70","440,23","9,15","324,85","2,08","48,13"
2015,79.880,1.646,7.773,3.791,46.381,57.945,59.591,"3,8","26,4",4.751.130,18.006.407,"168,13","3,46","121,96","443,62","9,14","321,80","2,06","48,53"
2016,91.711,1.675,8.830,4.344,50.389,63.563,65.238,"3,7","27,3",4.960.945,18.191.884,"184,87","3,38","128,13","504,13","9,21","349,40","1,83","54,75"
2017,94.879,1.483,8.534,4.201,49.436,62.171,63.654,"3,5","28,3",5.190.704,18.373.917,"182,79","2,86","119,77","516,38","8,07","338,37","1,56","63,98"
2018,89.311,1.507,7.859,4.092,45.988,57.939,59.446,"3,4","29,6",5.498.895,18.552.218,"162,42","2,74","105,36","481,40","8,12","312,30","1,69","59,26"
